,cifar10_accuracy,cifar10_accuracy_ci,cifar10.1-v6_accuracy,cifar10.1-v6_accuracy_ci,pretrained,model_family,model_hparams
78,0.4773,"(0.46746809630132147, 0.48714513077540933)",0.3485,"(0.32760191139990186, 0.36984317586140336)",False,SVM,"{'kernel': 'poly', 'C': 100, 'gamma': 'scale', 'scale_features': True}"
79,0.7148,"(0.7058389036191832, 0.7236358454412603)",0.55,"(0.5278868580797403, 0.5719663440607248)",False,RandFeaturesCoatesNg_2to13,"{'num_filters': 8192, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 5.0, 'zca': False, 'tot_patches': 100000}"
80,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 628029144183427.2, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
81,0.3637,"(0.35426215121935506, 0.3732172898658067)",0.267,"(0.24771467197009306, 0.28697066477876676)",False,RidgeClassifier,"{'alpha': 0.0001, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
82,0.9524,"(0.9480431863920963, 0.9564908391889646)",0.8915,"(0.8770414223305322, 0.9047990054420362)",False,RegNetX_400MF,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
83,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet34,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
84,0.9542,"(0.9499183750233643, 0.9582145160755483)",0.8925,"(0.8780951395277963, 0.90574221625889)",False,DenseNet121,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
85,0.5161,"(0.5062517704122431, 0.5259388483012132)",0.376,"(0.3547163547936156, 0.3976478496091812)",False,RandFeaturesCoatesNg_2to12,"{'num_filters': 4096, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
86,0.3668,"(0.3573442479405721, 0.3763333853698376)",0.2655,"(0.2462516077914735, 0.2854381615238404)",False,RidgeClassifier,"{'alpha': 1.0, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
87,0.3675,"(0.35804026355668395, 0.3770369615565702)",0.3235,"(0.30301878637324325, 0.34449989601183095)",True,imgnt_squeezenet1_1,"{'num_classes': 10, 'input_size': (224, 224), 'pretrained': True, 'finetune_only_last_layer': True, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': None, 'color_jitter': False}"
88,0.4234,"(0.41368935504589915, 0.43315528231186307)",0.3105,"(0.2902617414325091, 0.33129524077193884)",False,RandFeaturesCoatesNg_2to2,"{'num_filters': 4, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
89,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 1.0476157527896662e+18, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
90,0.9514,"(0.947002129645809, 0.9555325240841561)",0.8885,"(0.8738824262605678, 0.9019672047699314)",False,RegNetX_200MF,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
91,0.9416,"(0.9368238036422138, 0.9461169404570855)",0.8615,"(0.8455814328127222, 0.8763503323464463)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.049770235643321135, 'momentum': 0.509090909090909, 'weight_decay': 8.111308307896872e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.5912244897959184}"
92,0.4979,"(0.48805207882405777, 0.5077491448178575)",0.3955,"(0.3739873235561561, 0.41731956315779717)",False,RandFeaturesCoatesNg_2to3,"{'num_filters': 8, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.1, 'zca': False, 'tot_patches': 100000}"
93,0.3782,"(0.3686820108113321, 0.3877889751544492)",0.297,"(0.2770338267418916, 0.31756295427231784)",False,RidgeClassifier,"{'alpha': 1000000.0, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
94,0.9536,"(0.9492931242601272, 0.9576401455655933)",0.887,"(0.8723041145813061, 0.9005501112205652)",False,SENet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
95,0.9406,"(0.9357874081976744, 0.9451539517984896)",0.8665,"(0.8508061945110085, 0.8811104403084078)",False,VGG16,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
96,0.4857,"(0.47585955455519363, 0.4955487778857669)",0.3575,"(0.3364674963491504, 0.3789511127969275)",False,RandFeaturesCoatesNg_2to3,"{'num_filters': 8, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
97,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 2848035868435.793, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
98,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 3351602650.9388475, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
99,0.3919,"(0.3823145959933308, 0.4015484026292885)",0.299,"(0.2789922173264025, 0.3195986657658041)",False,RidgeClassifier,"{'alpha': 312.5715849688235, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
100,0.5481,"(0.5382828064516499, 0.5578891654503861)",0.425,"(0.40320827585918717, 0.44701194168118896)",False,SVM,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale', 'scale_features': True}"
101,0.2665,"(0.2578534321295238, 0.2752827442356487)",0.2125,"(0.19475348022041508, 0.2310933008208581)",False,SVM,"{'kernel': 'poly', 'C': 0.01, 'gamma': 'auto', 'scale_features': True}"
102,0.7027,"(0.6936334904956745, 0.7116483247681025)",0.525,"(0.5028412309213915, 0.5470853742367987)",False,RandFeaturesCoatesNg_2to13,"{'num_filters': 8192, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
103,0.2514,"(0.24292068797363703, 0.2600243156262967)",0.2,"(0.18266929791843953, 0.21821465787129413)",False,RidgeClassifier,"{'alpha': 1.3848863713938746e+17, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
104,0.3898,"(0.3802244129313757, 0.3994398099548283)",0.2955,"(0.2755653349033732, 0.3160358699840311)",False,RidgeClassifier,"{'alpha': 159.22827933410937, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
105,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,ResNet50,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 1.0974987654930568, 'momentum': 0.8902020202020202, 'weight_decay': 0.008902150854450393, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.8836734693877552}"
106,0.788,"(0.779855834041948, 0.7959761017765052)",0.6625,"(0.6412998833461833, 0.6832226561941056)",False,GoogLeNet,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
107,0.9432,"(0.9384828289751216, 0.9476569277997247)",0.865,"(0.8492380529866532, 0.8796831241900092)",False,VGG13,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
108,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 319926713779738.44, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
109,0.4608,"(0.45099295792470867, 0.4706298838609222)",0.3455,"(0.32464853066742544, 0.36680538439366395)",False,SVM,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 'auto', 'scale_features': True}"
110,0.4235,"(0.41378902233081705, 0.43325555674416527)",0.3105,"(0.2902617414325091, 0.33129524077193884)",False,RandFeaturesCoatesNg_2to2,"{'num_filters': 4, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.5, 'zca': False, 'tot_patches': 100000}"
111,0.6185,"(0.6088959793836892, 0.6280349587161334)",0.4915,"(0.46936619384871936, 0.5136587599907225)",False,densenet_cifar,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.023644894126454073, 'momentum': 0.872929292929293, 'weight_decay': 0.022570197196339216, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.29591836734693877}"
112,0.6967,"(0.6875840219168434, 0.7057012964270957)",0.532,"(0.5098484486531984, 0.5540576048407292)",False,RandFeaturesCoatesNg_2to13,"{'num_filters': 8192, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
113,0.9223,"(0.9168792536152189, 0.9274732536538934)",0.8385,"(0.8216285634897749, 0.8543724570390999)",False,MobileNet,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.9765656565656566, 'weight_decay': 0.0022051307399030455, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1816326530612245}"
114,0.4096,"(0.3999391824737062, 0.41931349829558484)",0.323,"(0.30252779287125414, 0.34399236216776863)",False,RidgeClassifier,"{'alpha': 35111.917342151275, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
115,0.4979,"(0.48805207882405777, 0.5077491448178575)",0.3955,"(0.3739873235561561, 0.41731956315779717)",False,RandFeaturesCoatesNg_2to3,"{'num_filters': 8, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
116,0.5499,"(0.5400857552141267, 0.5596851677497585)",0.4455,"(0.4235609598341993, 0.46759905208358077)",False,DenseNet169,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
117,0.8905,"(0.8842156164789654, 0.8965559312640371)",0.7975,"(0.7792075378696979, 0.8149159468336175)",False,MobileNet,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
118,0.2527,"(0.24420576139569136, 0.26133848204356913)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 265608.7782946684, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
119,0.9032,"(0.8972366812210633, 0.9089272961961159)",0.7995,"(0.7812696964257037, 0.8168478361161017)",False,VGG16,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
120,0.9504,"(0.9459615645269884, 0.9545737159344619)",0.88,"(0.8649486677851121, 0.8939269446288844)",False,PreActResNet101,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
121,0.5187,"(0.508852786921476, 0.52853631678841)",0.3745,"(0.353235475890119, 0.3961331386775979)",False,RandFeaturesCoatesNg_2to12,"{'num_filters': 4096, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
122,0.7422,"(0.7335069111880906, 0.7507518271663756)",0.5955,"(0.5736132446704176, 0.6171063148371352)",False,RandFeaturesCoatesNg_2to9,"{'num_filters': 512, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
123,0.911,"(0.9052487146236815, 0.9165105932784677)",0.8295,"(0.8122884733369377, 0.8457395213385612)",False,ShuffleNetV2_1_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
124,0.2526,"(0.24410690600527918, 0.2612373959064517)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 191791026167.24927, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
125,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PNASNetA,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
126,0.8017,"(0.7937478670574367, 0.8094760380039785)",0.6965,"(0.6758226457409133, 0.7165997391478566)",False,ResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
127,0.3241,"(0.314928943015081, 0.333373598352827)",0.262,"(0.2428389066312993, 0.28186120732573217)",False,RidgeClassifier,"{'alpha': 159.22827933410937, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
128,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,VGG11,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6135907273413169, 'momentum': 0.8057575757575758, 'weight_decay': 0.01707352647470692, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1326530612244898}"
129,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 5590810182512.223, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
130,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,RidgeClassifier,"{'alpha': 1.3219411484660287e+22, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
131,0.7721,"(0.7637497958297639, 0.7802914517392686)",0.599,"(0.5771384798171443, 0.6205707955988297)",False,RandFeaturesCoatesNg_2to14,"{'num_filters': 16384, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.1, 'zca': False, 'tot_patches': 100000}"
132,0.2666,"(0.257952368360501, 0.27538374956234657)",0.2055,"(0.18798315045745098, 0.22388444001172103)",False,RandFeaturesCoatesNg_2to0,"{'num_filters': 1, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
133,0.7202,"(0.711288444617531, 0.7289831501578758)",0.5535,"(0.5313976610822452, 0.5754452635064791)",False,RandFeaturesCoatesNg_2to10,"{'num_filters': 1024, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
134,0.9507,"(0.946273683289447, 0.9548614092971504)",0.8895,"(0.8749350699781017, 0.902911495369259)",False,ResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
135,0.8052,"(0.7972992089185009, 0.8129226432297323)",0.6995,"(0.6788748498376741, 0.7195386900869015)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 1.747528400007683e-05, 'momentum': 0.8296969696969696, 'weight_decay': 0.1747528400007683, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.8273469387755101}"
136,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,RidgeClassifier,"{'alpha': 3.430469286314926e+21, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
137,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,VGG16,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 1.0974987654930568, 'momentum': 0.8902020202020202, 'weight_decay': 0.008902150854450393, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.8836734693877552}"
138,0.226,"(0.21783337361685795, 0.23432649110342751)",0.1945,"(0.17736062280486745, 0.21253971258405324)",False,RandFeaturesCoatesNg_2to0,"{'num_filters': 1, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
139,0.9399,"(0.9350621522186634, 0.9444796383893707)",0.861,"(0.8450593255704855, 0.875873950957972)",False,VGG16,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
140,0.2537,"(0.24519434809681445, 0.26234931063028544)",0.201,"(0.18363507251031383, 0.21924590673355082)",False,RidgeClassifier,"{'alpha': 1.8307382802953696e+16, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
